task,layer,attn_audio_frac,uniform_frac,view,step,model
beats_per_bar,0.0,0.1103922526041666,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,1.0,0.2478841145833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,2.0,0.2193196614583333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,3.0,0.5107421875,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,4.0,0.5162760416666666,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,5.0,0.5149739583333334,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,6.0,0.4964192708333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,7.0,0.4690755208333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,8.0,0.3699544270833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,9.0,0.3616536458333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,10.0,0.4119466145833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,11.0,0.4127604166666667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,12.0,0.35302734375,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,13.0,0.34228515625,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,14.0,0.3077799479166667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,15.0,0.33837890625,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,16.0,0.2654622395833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,17.0,0.3282877604166667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,18.0,0.330078125,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,19.0,0.35546875,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,20.0,0.3777669270833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,21.0,0.38623046875,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,22.0,0.3743489583333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,23.0,0.359375,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,24.0,0.3463541666666667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,25.0,0.3815104166666667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,26.0,0.3152669270833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,27.0,0.3860677083333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,28.0,0.3225911458333333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,29.0,0.2828776041666667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,30.0,0.2736002604166667,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
beats_per_bar,31.0,0.2820638020833333,0.7763916882778973,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,0.0,0.0908610026041666,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,1.0,0.2013346354166666,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,2.0,0.1865234375,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,3.0,0.4303385416666667,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,4.0,0.4303385416666667,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,5.0,0.43359375,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,6.0,0.4044596354166667,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,7.0,0.38720703125,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,8.0,0.313232421875,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,9.0,0.2884928385416667,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,10.0,0.3367513020833333,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
chord_quality,11.0,0.3404947916666667,0.6420292735338672,by_layer,,Qwen_Qwen2-Audio-7B-Instruct
